,TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Cluster
0,14.09,1.0,36.0,0.0,70.0,0.0,81.0,1.0,5112.21,1
1,376.24,1.0,15.0,0.0,68.0,0.0,141.0,1.0,13758.91,2
2,126.29,1.0,23.0,2.0,19.0,3.0,56.0,1.0,1122.35,0
3,184.5,1.0,33.0,2.0,26.0,3.0,25.0,1.0,8569.06,1
4,13.45,0.0,1.0,2.0,26.0,3.0,198.0,1.0,7429.4,1
5,92.15,1.0,28.0,0.0,18.0,3.0,172.0,1.0,781.68,0
6,7.08,0.0,39.0,0.0,37.0,0.0,139.0,1.0,13316.71,2
7,171.42,0.0,16.0,1.0,67.0,2.0,291.0,1.0,2796.24,0
8,106.23,0.0,11.0,1.0,51.0,1.0,86.0,1.0,9095.14,2
9,815.96,1.0,26.0,0.0,55.0,0.0,120.0,1.0,1021.88,0
10,17.78,0.0,0.0,2.0,52.0,1.0,59.0,1.0,7599.52,1
11,190.02,1.0,22.0,2.0,21.0,3.0,173.0,1.0,1528.81,0
12,494.52,0.0,23.0,1.0,24.0,3.0,111.0,1.0,1620.02,0
13,781.76,1.0,22.0,0.0,26.0,3.0,123.0,1.0,189.69,0
14,166.99,1.0,21.0,2.0,18.0,3.0,134.0,1.0,299.93,0
15,465.45,1.0,10.0,0.0,36.0,1.0,129.0,1.0,3465.54,0
16,555.8,0.0,2.0,1.0,19.0,3.0,158.0,1.0,1131.26,0
17,492.93,1.0,8.0,2.0,39.0,1.0,234.0,1.0,5109.97,1
18,18.68,0.0,0.0,1.0,59.0,2.0,106.0,1.0,7948.37,1
19,71.48,0.0,8.0,2.0,18.0,3.0,169.0,1.0,6568.59,1
20,59.32,1.0,20.0,1.0,71.0,2.0,38.0,1.0,5750.89,1
21,85.77,1.0,19.0,1.0,38.0,0.0,93.0,1.0,9146.19,2
22,52.2,1.0,1.0,2.0,39.0,1.0,120.0,1.0,8974.93,1
23,345.84,1.0,13.0,2.0,22.0,3.0,142.0,3.0,1402.5,0
24,145.54,1.0,33.0,2.0,21.0,3.0,96.0,1.0,1930.96,0
25,7.49,0.0,15.0,2.0,65.0,2.0,276.0,1.0,3634.67,0
26,246.93,1.0,24.0,0.0,23.0,3.0,158.0,5.0,673.35,0
27,40.32,1.0,25.0,1.0,37.0,1.0,95.0,1.0,2686.52,0
28,127.45,1.0,19.0,2.0,44.0,0.0,197.0,1.0,1772.06,0
29,56.17,1.0,11.0,1.0,27.0,3.0,283.0,1.0,1351.69,0
30,28.31,0.0,24.0,2.0,59.0,0.0,20.0,1.0,8334.47,1
31,59.12,1.0,3.0,0.0,29.0,0.0,257.0,1.0,9823.64,2
32,396.45,1.0,27.0,0.0,49.0,1.0,168.0,3.0,9690.15,2
33,877.81,1.0,20.0,2.0,22.0,3.0,150.0,1.0,399.0,0
34,255.26,0.0,37.0,1.0,45.0,0.0,50.0,1.0,14815.87,2
35,124.76,1.0,39.0,1.0,49.0,1.0,45.0,1.0,5764.72,1
36,78.13,1.0,25.0,1.0,26.0,3.0,145.0,1.0,900.61,0
37,649.28,1.0,38.0,0.0,75.0,2.0,137.0,1.0,4875.86,1
38,795.31,1.0,23.0,0.0,66.0,0.0,90.0,2.0,7914.88,1
39,335.63,1.0,28.0,2.0,55.0,2.0,216.0,1.0,1019.39,0
40,328.47,1.0,35.0,0.0,63.0,2.0,119.0,1.0,4323.66,1
41,34.02,1.0,30.0,2.0,38.0,0.0,19.0,1.0,14214.48,2
42,241.42,0.0,5.0,2.0,57.0,0.0,116.0,1.0,13357.02,2
43,55.32,1.0,40.0,0.0,19.0,3.0,117.0,1.0,241.79,0
44,304.31,1.0,21.0,1.0,27.0,3.0,33.0,1.0,868.61,0
45,435.27,1.0,6.0,1.0,74.0,2.0,90.0,1.0,4673.28,1
46,164.49,1.0,3.0,1.0,26.0,3.0,75.0,1.0,1509.27,0
47,510.24,1.0,28.0,2.0,19.0,3.0,105.0,1.0,781.7,0
48,626.9,1.0,10.0,2.0,26.0,3.0,138.0,1.0,265.51,0
49,22.01,0.0,34.0,2.0,41.0,1.0,175.0,1.0,1335.09,0
50,425.34,0.0,18.0,2.0,69.0,2.0,121.0,1.0,3907.54,0
51,424.56,1.0,29.0,2.0,51.0,1.0,264.0,1.0,5183.85,1
52,85.43,1.0,41.0,1.0,67.0,0.0,145.0,1.0,14904.9,2
53,169.5,1.0,36.0,1.0,28.0,3.0,142.0,1.0,918.88,0
54,104.63,1.0,29.0,0.0,62.0,2.0,90.0,1.0,4477.78,1
55,316.95,1.0,23.0,1.0,25.0,3.0,83.0,1.0,1324.03,0
56,60.54,0.0,8.0,1.0,57.0,2.0,52.0,1.0,3534.93,0
57,292.56,0.0,9.0,1.0,68.0,2.0,61.0,1.0,4638.37,1
58,386.52,1.0,16.0,1.0,48.0,1.0,28.0,1.0,5630.61,1
59,112.07,1.0,18.0,1.0,23.0,3.0,51.0,1.0,930.3,0
60,568.52,1.0,16.0,0.0,46.0,1.0,152.0,1.0,5499.91,1
61,263.99,1.0,9.0,1.0,79.0,2.0,227.0,2.0,4175.02,1
62,349.64,1.0,19.0,2.0,48.0,1.0,226.0,1.0,6651.62,1
63,601.4,0.0,30.0,1.0,56.0,1.0,104.0,1.0,8458.29,1
64,5.77,1.0,5.0,2.0,50.0,0.0,124.0,1.0,13988.12,2
65,201.33,0.0,26.0,1.0,42.0,1.0,186.0,1.0,2585.07,0
66,298.42,1.0,16.0,1.0,56.0,2.0,225.0,1.0,3014.75,0
67,521.06,1.0,0.0,1.0,25.0,3.0,128.0,1.0,1951.42,0
68,117.28,0.0,2.0,2.0,60.0,1.0,16.0,1.0,3665.77,0
69,189.12,0.0,16.0,1.0,32.0,1.0,103.0,1.0,977.01,0
70,133.55,1.0,1.0,0.0,44.0,1.0,220.0,1.0,3846.28,0
71,143.21,1.0,9.0,2.0,35.0,1.0,135.0,1.0,6374.82,1
72,24.77,1.0,4.0,0.0,62.0,2.0,55.0,1.0,5866.01,1
73,233.92,0.0,17.0,2.0,26.0,3.0,280.0,1.0,6537.62,1
75,232.12,1.0,29.0,0.0,37.0,1.0,51.0,1.0,6689.87,1
76,162.63,1.0,18.0,2.0,22.0,3.0,113.0,1.0,634.17,0
77,91.53,1.0,25.0,1.0,44.0,0.0,69.0,1.0,14676.05,2
78,120.29,1.0,24.0,1.0,19.0,3.0,77.0,1.0,1362.39,0
79,174.25,1.0,39.0,2.0,50.0,0.0,67.0,1.0,10528.34,2
80,183.71,1.0,10.0,0.0,38.0,1.0,102.0,1.0,552.52,0
81,345.39,0.0,31.0,2.0,58.0,1.0,80.0,1.0,6451.96,1
83,259.91,1.0,10.0,2.0,49.0,0.0,170.0,1.0,7176.86,1
